wall_ts,node,seq,sample_index,value
1778045170.856809,1,592,10,65535
1778045170.856809,1,592,11,65535
1778045170.856809,1,592,12,65535
1778045170.856809,1,592,13,65535
1778045170.856809,1,592,14,65535
1778045170.856809,1,592,15,65535
1778045170.856809,1,592,16,65535
1778045170.856809,1,592,17,65535
1778045170.856809,1,592,18,65535
1778045170.856809,1,592,19,65535
1778045170.856809,1,592,20,65535
1778045170.856809,1,592,21,65535
1778045170.856809,1,592,22,65535
1778045170.856809,1,592,23,65535
1778045170.856809,1,592,24,65535
1778045170.856809,1,592,25,65535
1778045170.856809,1,592,26,65535
1778045170.856809,1,592,27,65535
1778045170.856809,1,592,28,65535
1778045170.856809,1,592,29,65535
1778045170.856809,1,592,30,65535
1778045170.856809,1,592,31,65535
1778045170.961442,1,593,0,65535
1778045170.961442,1,593,1,65535
1778045170.961442,1,593,2,65535
1778045170.961442,1,593,3,65535
1778045170.961442,1,593,4,65535
1778045170.961442,1,593,5,65535
1778045170.961442,1,593,6,65535
1778045170.961442,1,593,7,65535
1778045170.961442,1,593,8,65535
1778045170.961442,1,593,9,65535
1778045170.961442,1,593,10,65535
1778045170.961442,1,593,11,65535
1778045170.961442,1,593,12,65535
1778045170.961442,1,593,13,65535
1778045170.961442,1,593,14,65535
1778045170.961442,1,593,15,65535
1778045170.961442,1,593,16,65535
1778045170.961442,1,593,17,65535
1778045170.961442,1,593,18,65535
1778045170.961442,1,593,19,65535
1778045170.961442,1,593,20,65535
1778045170.961442,1,593,21,65535
1778045170.961442,1,593,22,65535
1778045170.961442,1,593,23,65535
1778045170.961442,1,593,24,65535
1778045170.961442,1,593,25,65535
1778045170.961442,1,593,26,65535
1778045170.961442,1,593,27,65535
1778045170.961442,1,593,28,65535
1778045170.961442,1,593,29,65535
1778045170.961442,1,593,30,65535
1778045170.961442,1,593,31,65535
1778045171.169931,1,594,0,65535
1778045171.169931,1,594,1,65535
1778045171.169931,1,594,2,65535
1778045171.169931,1,594,3,65535
1778045171.169931,1,594,4,65535
1778045171.169931,1,594,5,65535
1778045171.169931,1,594,6,65535
1778045171.169931,1,594,7,65535
1778045171.169931,1,594,8,65535
1778045171.169931,1,594,9,65535
1778045171.169931,1,594,10,65535
1778045171.169931,1,594,11,65535
1778045171.169931,1,594,12,65535
